Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
20215578,2022:02:23,수,2:34:04 PM,version=0.1,Test,0,3,10,5,0.002288182,177.8896,0.001172336,177.8896,0.003886503,177.8896,0.07429264,2.646266,0.07783087,2.646266
20215578,2022:02:23,수,2:35:17 PM,version=0.1,Test,0,3,10,5,0.003009806,178.4789,0.002924041,178.4789,0.005317436,178.4789,0.07509708,2.121449,0.0801478,2.121449
20215578,2022:02:23,수,2:36:08 PM,version=0.1,Test,0,3,10,4,0.002576988,176.8362,0.002453063,176.8362,0.003882453,176.8362,0.05138765,4.533541,,
20182033,2022:02:23,수,4:01:00 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20182033,2022:02:23,수,4:15:52 PM,version=0.1,Test,0,3,10,5,0.004096847,176.8124,0.004352489,176.8124,0.003841792,176.8124,0.05173468,4.68567,0.09865238,4.68567
20182033,2022:02:23,수,4:16:52 PM,version=0.1,Test,0,3,10,5,0.004348039,179.1323,0.004418091,179.1323,0.004296797,179.1323,0.06342794,2.295502,0.08803907,2.295502
20182033,2022:02:23,수,4:18:33 PM,version=0.1,Test,0,3,10,5,0.004212738,176.6451,0.003943627,176.6451,0.00545249,176.6451,0.07503964,3.890682,0.07643202,3.890682
20182033,2022:02:23,수,4:19:37 PM,version=0.1,Test,0,3,10,5,0.003916454,179.3156,0.005016088,179.3156,0.002857956,179.3156,0.06826831,2.067533,0.08547708,2.067533
20155428,2022:02:24,목,9:56:49 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20155428,2022:02:24,목,10:06:22 AM,version=0.1,Test,0,3,10,5,0.001342084,177.1765,0.001561336,177.1765,0.002137176,177.1765,0.06463245,4.030023,0.08805037,4.030023
20155428,2022:02:24,목,10:06:54 AM,version=0.1,Test,0,3,10,5,0.002468833,179.4318,0.003684745,179.4318,0.002007268,179.4318,0.07189408,1.07974,0.08030277,1.07974
20155428,2022:02:24,목,10:07:23 AM,version=0.1,Test,0,3,10,5,0.00301691,177.9626,0.004501787,177.9626,0.001612725,177.9626,0.06959602,1.494493,0.07828667,1.494493
20155428,2022:02:24,목,10:07:56 AM,version=0.1,Test,0,3,10,5,0.001316884,179.6078,0.001631247,179.6078,0.001605751,179.6078,0.0673246,1.888133,0.08588675,1.888133
20155428,2022:02:24,목,10:08:21 AM,version=0.1,Test,0,3,10,5,0.001412441,178.6192,0.001331516,178.6192,0.002188897,178.6192,0.06982134,1.164157,0.08097109,1.164157
20182033,2022:02:24,목,11:04:46 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20182033,2022:02:24,목,11:09:17 AM,version=0.1,Test,0,3,10,5,0.002527511,178.7863,0.003763137,178.7863,0.001523282,178.7863,0.06198046,2.385155,0.08869027,2.385155
