Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8,r9,t9,r10,t10
20192017,2022:02:23,수,11:28:22 AM,version=0.1,Test,0,11,22,10,0.00232591,178.3375,0.003255372,179.7963,0.003004262,179.0067,0.001990934,178.9772,0.00083051,178.3834,0.003734383,179.2485,0.001839182,177.0777,0.001899202,179.5175,0.001024092,177.6115,0.003867872,179.2764
20155428,2022:02:23,수,12:01:52 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20155428,2022:02:23,수,12:10:12 PM,version=0.1,Test,0,11,22,10,0.000650155,179.1182,0.000479215,178.2807,0.000395046,177.7748,0.000108018,178.9977,0.000577899,178.7842,0.000506785,179.6358,0.001303584,178.8941,0.000470132,179.7406,0.001057745,179.8481,0.000742897,179.6342
20155428,2022:02:23,수,12:13:03 PM,version=0.1,Test,0,11,22,10,0.001329555,179.822,0.000241193,178.3756,0.000262235,178.9793,0.000153379,179.7353,0.00084303,179.7245,0.000553895,178.6821,0.000831433,179.9315,0.001403011,179.6916,0.001318199,179.2721,0.001074856,179.3874
20155428,2022:02:23,수,12:15:39 PM,version=0.1,Test,0,11,22,10,0.000574647,179.4122,0.000954227,178.6293,0.00057875,179.6948,0.000280006,179.5537,0.000789939,179.843,0.001034364,177.0017,0.001163919,179.3587,0.000728572,179.2067,0.000512427,179.573,0.00081299,179.0355
20155428,2022:02:23,수,12:18:31 PM,version=0.1,Test,0,11,22,10,0.000517744,177.9523,0.001424978,178.8901,0.0002553,179.8864,0.000425618,179.1459,0.000678444,178.3111,0.000383569,178.5317,0.000890987,179.8506,0.000948311,179.4082,0.000442451,178.8632,0.000427356,179.596
20192001,2022:02:23,수,12:56:00 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20192001,2022:02:23,수,1:17:41 PM,version=0.1,Test,0,11,22,10,0.00136016,178.6843,0.002196243,179.1593,0.001291886,178.3874,0.000514133,178.3396,0.000462465,178.7257,0.000435077,179.4826,0.000416769,178.5594,0.000425805,178.1048,0.000493245,177.4995,0.00035991,178.1548
20192001,2022:02:23,수,1:20:01 PM,version=0.1,Test,0,11,22,10,0.000341633,179.1556,0.000792991,175.6168,0.00036198,179.6118,0.000656819,177.3932,0.000484887,179.6185,0.00037744,179.0186,0.000780336,179.0937,0.000346662,177.0317,0.000151135,179.586,0.000891682,178.6083
20192001,2022:02:23,수,1:22:08 PM,version=0.1,Test,0,11,22,10,0.000175135,177.9337,0.000596823,179.4564,0.000585609,179.6053,0.000294003,178.271,0.000801689,178.6878,0.000549912,178.8073,0.000849186,179.8052,0.000841829,178.0145,0.002020925,179.8587,0.001317026,178.5239
20192001,2022:02:23,수,1:24:34 PM,version=0.1,Test,0,11,22,10,0.001412778,177.3383,0.001333912,178.217,0.001199032,176.9278,0.003448901,178.394,0.002062142,176.8731,0.000751482,177.8361,0.000375481,178.1662,0.000560394,178.6948,0.001602918,179.9115,0.001941246,178.317
20215578,2022:02:23,수,1:37:41 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20215578,2022:02:23,수,2:08:04 PM,version=0.1,Test,0,11,22,10,0.000890012,179.1124,0.000801369,178.7676,0.000230625,177.0841,0.001174337,179.0441,0.000582005,178.4647,0.001107976,178.7716,0.000859732,179.7368,0.000992953,179.0075,0.000595529,178.7342,0.000429602,177.4477
20215578,2022:02:23,수,2:13:14 PM,version=0.1,Test,0,11,22,10,0.002866959,178.1487,0.00089587,177.986,0.000502556,179.3772,0.001170827,177.6398,0.001270286,178.0086,0.000180747,177.6266,0.000921567,177.8787,0.000411636,177.1819,0.01150969,174.9108,0.000378914,178.9358
20215578,2022:02:23,수,2:17:44 PM,version=0.1,Test,0,11,22,10,0.001231438,176.4849,9.74E-05,179.4284,0.00049775,179.1284,0.001287473,177.3698,0.000903797,179.2408,0.000826677,173.8284,0.001230745,178.3557,0.000923343,175.5343,0.000787051,178.8752,0.000682197,179.5215
20215578,2022:02:23,수,2:22:05 PM,version=0.1,Test,0,11,22,10,0.000717105,179.2182,0.000680671,179.2467,7.97E-05,179.8072,0.000880292,179.7309,0.002444474,178.7934,0.000428604,178.4128,0.000614122,178.5816,0.00128466,178.4842,0.000911393,177.6194,0.001128841,178.1434
20182033,2022:02:23,수,3:22:08 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20182033,2022:02:23,수,3:49:12 PM,version=0.1,Test,0,11,22,10,0.001234971,179.2275,0.000662639,178.1258,0.000628808,178.5704,0.001442016,174.7643,0.000388344,174.3109,0.000213706,179.1647,0.000806486,175.6359,0.001032876,179.3133,0.001901778,178.2756,0.000645717,179.2561
20182033,2022:02:23,수,3:51:06 PM,version=0.1,Test,0,11,22,10,0.001148239,177.5673,0.001698048,176.5098,0.000737504,177.3155,0.001031119,175.9759,0.00240675,178.3482,0.00118483,179.6247,0.000327648,180,0.001251535,179.8899,0.000642532,177.0186,0.001071337,178.2846
20182033,2022:02:23,수,3:58:26 PM,version=0.1,Test,0,11,22,10,0.000749356,178.5016,0.000185769,176.8553,0.0010355,176.1411,0.000976006,177.4094,0.003041525,171.4779,0.001133157,178.8615,0.002994997,175.3172,0.000659814,176.1219,0.001608446,179.6551,0.000649381,178.0872
20182033,2022:02:23,수,4:00:58 PM,version=0.1,Test,0,11,22,10,0.00117578,178.838,0.001848888,179.4256,0.000530467,177.9999,0.001128892,177.2747,0.000341096,178.0903,0.000377802,179.6139,0.001049853,177.7724,0.00114335,177.9829,0.00105978,177.73,0.000628008,177.7315
20155428,2022:02:24,목,9:20:06 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20155428,2022:02:24,목,9:29:17 AM,version=0.1,Test,0,11,22,10,0.000827726,178.4091,0.000480024,178.7865,0.000398796,179.4105,0.000674682,177.2479,0.000222488,178.1395,0.000286007,179.0709,0.000424784,179.3829,0.001218786,179.6423,0.000458345,179.4564,0.00065703,179.8703
20155428,2022:02:24,목,9:32:02 AM,version=0.1,Test,0,11,22,10,0.00065016,178.028,0.000252925,179.208,0.00036086,179.7013,0.000488764,177.8092,0.000886334,176.0329,0.000902351,179.3713,0.000552244,179.1372,0.001674614,179.926,0.000414057,178.384,0.001286225,179.4394
20155428,2022:02:24,목,9:34:08 AM,version=0.1,Test,0,11,22,10,0.000714961,178.621,0.000845654,178.6197,0.000426016,179.7451,0.000506884,177.7002,0.000294509,177.0682,0.000672943,178.8213,0.000159493,179.3906,0.001829941,178.4797,0.000661164,179.4239,9.40E-05,178.6729
20155428,2022:02:24,목,9:37:27 AM,version=0.1,Test,0,11,22,10,0.001014775,179.9441,0.00064703,179.5577,0.0006325,178.2985,0.000859373,178.1276,0.000586653,177.2551,0.000586079,179.531,0.000343971,178.5234,0.000590692,177.7703,0.00061526,178.33,0.00023655,178.7515
20155428,2022:02:24,목,9:40:11 AM,version=0.1,Test,0,11,22,10,0.00040605,178.7571,0.000694113,178.205,0.000269499,179.6637,0.000363078,177.1388,0.000312109,177.6009,0.000236225,179.662,0.000196921,178.3951,0.001024342,179.5563,0.00042396,179.524,0.001029096,179.4945
20182033,2022:02:24,목,10:34:33 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20182033,2022:02:24,목,10:56:03 AM,version=0.1,Test,0,11,22,10,0.000603433,177.1218,0.00027837,176.5623,0.000597644,177.5242,0.000396632,176.8542,0.000337222,176.6703,0.000143078,178.8577,0.003231811,178.2911,0.000872425,179.6798,0.001317687,178.3918,0.00098122,179.8493
20182033,2022:02:24,목,10:57:51 AM,version=0.1,Test,0,11,22,10,0.000780806,178.9952,0.000580824,179.2477,0.000836338,177.9275,0.001017742,176.9487,0.00087626,177.0726,0.000439516,177.8127,0.00073236,177.6343,0.000923075,179.6034,0.000265167,177.5086,9.60E-05,179.2191
20182033,2022:02:24,목,11:00:32 AM,version=0.1,Test,0,11,22,10,0.000285396,179.7188,0.000195755,179.3082,0.000571962,178.7701,0.000591275,176.7178,0.002690736,178.4958,0.0014438,176.4236,0.001235774,179.3034,0.001133893,178.3332,0.001167555,179.1734,0.000406149,178.1442
20182033,2022:02:24,목,11:02:45 AM,version=0.1,Test,0,11,22,10,0.000429969,178.9987,0.000786892,178.0229,0.0001935,177.702,0.000784615,177.7881,0.000733869,176.0419,0.000717384,178.762,0.000309328,179.3415,0.000685858,178.4216,0.001110591,179.8103,0.00022378,179.2804
20182033,2022:02:24,목,11:04:45 AM,version=0.1,Test,0,11,22,10,0.000671739,178.5736,0.000517918,179.6768,0.000379337,178.659,0.000133922,179.1402,0.000337759,177.024,0.000252657,179.0103,0.000484475,178.0122,0.000871414,179.3685,0.000486445,179.7702,0.000354391,178.3572
20215578,2022:02:24,목,11:29:49 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20215578,2022:02:24,목,12:01:40 PM,version=0.1,Test,0,11,22,10,0.00058696,179.0631,0.00027217,176.5376,0.000478538,179.5323,0.000405951,176.8993,0.00044635,177.9846,0.000880384,177.5887,0.001071305,178.7912,0.000582993,177.5695,0.000513938,178.3612,0.004881542,177.5482
20215578,2022:02:24,목,12:05:46 PM,version=0.1,Test,0,11,22,10,0.002251736,178.8461,6.24E-05,179.1889,0.000620056,178.5412,0.001055386,178.1674,0.001827076,178.2907,0.000883454,178.0341,0.001264375,179.4662,0.000547476,179.5485,0.001031418,178.6936,0.000932504,178.2097
20215578,2022:02:24,목,12:09:25 PM,version=0.1,Test,0,11,22,10,0.000810734,179.0333,0.003525928,178.2269,0.001163285,178.2814,0.000566401,179.0232,0.000562166,177.9849,0.00043481,177.1365,0.00034878,177.3435,0.000762034,179.3026,0.000686668,179.1133,0.001180668,178.9288
20215578,2022:02:24,목,12:12:03 PM,version=0.1,Test,0,11,22,10,0.000905143,179.2292,0.003584996,179.0604,0.001293781,178.6383,0.001121341,176.9217,0.000279655,179.0757,0.000158687,176.7713,0.000581361,176.5954,0.000784693,179.6103,0.000836042,177.9383,0.000744784,178.1629
20215578,2022:02:24,목,12:14:49 PM,version=0.1,Test,0,11,22,10,0.000589881,178.7886,0.000790034,177.5574,0.003377595,178.7644,0.00068038,178.1441,0.000397889,178.3947,0.001904276,178.7375,0.000418184,176.9355,0.000915842,179.3239,0.000278855,179.5907,0.000877418,175.4263
20192017,2022:02:24,목,12:31:56 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20192017,2022:02:24,목,12:48:00 PM,version=0.1,Test,0,11,22,10,0.001886171,179.5356,0.003069401,178.0471,0.001506196,179.3161,0.00394835,178.4335,0.002007725,179.8042,0.001857795,178.6484,0.003292251,179.5869,0.004008382,177.1323,0.002662422,178.5349,0.002891382,179.349
20192017,2022:02:24,목,12:49:13 PM,version=0.1,Test,0,11,22,10,0.002170935,179.5528,0.003255883,179.5711,0.002111759,179.4219,0.002135329,178.2829,0.003090305,179.8733,0.002148083,179.9287,0.001285844,179.7833,0.002469079,177.5753,0.001385045,178.977,0.002920954,177.8037
20192017,2022:02:24,목,12:51:05 PM,version=0.1,Test,0,11,22,10,0.001117643,179.5559,0.003633071,178.9649,0.002560636,178.797,0.001536481,179.5236,0.001182711,178.8963,0.002237042,179.6702,0.003330215,179.0319,0.001934766,179.5106,0.002514327,177.8095,0.002772452,178.0489
