Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6
20192001,2022:02:23,수,1:14:02 PM,version=0.1,Test,0,7,14,6,0.001435194,178.0447,0.001881272,177.6181,0.000320831,179.2361,0.001072499,177.4848,0.000883762,178.7318,0.000736754,179.3584
20215578,2022:02:23,수,1:37:41 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20215578,2022:02:23,수,1:53:33 PM,version=0.1,Test,0,7,14,6,0.004927816,177.7231,0.000366737,175.9165,0.001842062,178.963,0.001022713,178.7757,0.000925632,176.6363,0.000189954,177.9043
20215578,2022:02:23,수,1:57:56 PM,version=0.1,Test,0,7,14,6,0.002052819,179.0242,0.000455929,179.2802,0.003969333,179.1314,0.001315683,178.77,0.000424686,177.4137,0.000353302,179.714
20215578,2022:02:23,수,2:00:20 PM,version=0.1,Test,0,7,14,6,0.000892114,177.1377,0.000774238,179.2097,0.001239285,179.8991,0.000961457,179.6916,0.004078855,179.2598,0.000958454,179.496
20215578,2022:02:23,수,2:03:27 PM,version=0.1,Test,0,7,14,6,0.001188912,178.1817,0.000690214,179.3864,0.002719983,177.8637,0.001699384,179.4511,0.00317073,177.4514,0.001359517,178.5522
20182033,2022:02:23,수,3:22:08 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20182033,2022:02:23,수,3:35:19 PM,version=0.1,Test,0,7,14,6,0.001245826,178.0483,0.000820376,178.9497,0.000857083,178.5437,0.000695719,176.4241,0.001043821,177.5263,0.001615705,178.4493
20182033,2022:02:23,수,3:38:25 PM,version=0.1,Test,0,7,14,6,0.000887548,179.2433,0.001872768,178.8443,0.000358348,179.534,0.000405104,177.3606,0.001296429,176.3329,0.001479946,177.6645
20182033,2022:02:23,수,3:41:19 PM,version=0.1,Test,0,7,14,6,0.000253265,177.9389,0.000649287,179.6315,0.000501241,177.491,0.000669269,176.6509,0.001119361,175.766,0.00049831,179.8322
20182033,2022:02:23,수,3:43:30 PM,version=0.1,Test,0,7,14,6,0.001293956,179.8972,0.00155549,177.8011,0.000721117,178.7923,0.000519373,179.5657,0.001696597,176.4848,0.000416461,176.108
20155428,2022:02:24,목,9:20:06 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20155428,2022:02:24,목,9:42:17 AM,version=0.1,Test,0,7,14,6,0.000615165,178.9121,0.000543684,179.205,0.000252866,179.6562,0.000611704,178.833,0.000289152,179.4755,0.000471259,179.7238
20155428,2022:02:24,목,9:43:50 AM,version=0.1,Test,0,7,14,6,0.000457239,179.1325,0.00011989,179.167,0.000538492,179.0488,0.000366919,177.8678,0.000625355,179.8405,0.000402414,179.6412
20155428,2022:02:24,목,9:45:35 AM,version=0.1,Test,0,7,14,6,0.00080776,178.5167,0.000202683,178.5979,0.000879821,179.7925,0.000450248,179.8573,0.000399201,179.5581,0.000444936,179.8718
20155428,2022:02:24,목,9:47:32 AM,version=0.1,Test,0,7,14,6,0.000305739,179.388,0.000290072,178.6104,0.000647966,179.8899,0.000467229,178.3938,0.000686709,179.3845,0.000635653,180
20155428,2022:02:24,목,9:49:10 AM,version=0.1,Test,0,7,14,6,0.000264507,178.8158,7.20E-05,179.3294,0.000904393,179.7888,0.000194439,179.2444,0.000557883,180,0.000105345,178.4789
20182033,2022:02:24,목,10:34:33 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20182033,2022:02:24,목,10:47:46 AM,version=0.1,Test,0,7,14,6,0.000625556,178.7719,0.00107647,178.6382,0.00043655,178.942,0.000636915,179.4199,0.002231051,179.2139,0.000528891,177.0488
20182033,2022:02:24,목,10:49:18 AM,version=0.1,Test,0,7,14,6,0.001164737,179.3951,0.000837827,178.2468,0.000423603,179.1741,0.001226127,179.6597,0.000804981,179.3499,0.000336476,179.1959
20182033,2022:02:24,목,10:50:54 AM,version=0.1,Test,0,7,14,6,0.00105705,178.8004,0.000433214,179.0894,0.000856813,179.4615,0.001013758,179.3236,0.000864157,179.6798,0.000928684,177.4978
20182033,2022:02:24,목,10:52:07 AM,version=0.1,Test,0,7,14,6,0.000548548,178.9073,0.000909365,179.3102,0.000983698,179.9604,0.001235892,179.5965,0.001432801,177.9038,0.000528537,179.669
20182033,2022:02:24,목,10:53:32 AM,version=0.1,Test,0,7,14,6,0.001420614,179.0943,0.000346578,178.4767,0.000284269,179.2511,0.000677053,177.5537,0.001224974,176.2334,0.000231685,178.3043
20215578,2022:02:24,목,11:29:49 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20215578,2022:02:24,목,11:47:41 AM,version=0.1,Test,0,7,14,6,0.000230384,178.4591,0.000856685,178.0735,0.001739187,179.2865,0.000346802,179.8864,0.000774645,178.9973,0.000928819,175.5908
20215578,2022:02:24,목,11:49:30 AM,version=0.1,Test,0,7,14,6,0.00045959,178.5503,0.000931734,179.2194,0.001036835,177.059,0.001629336,179.8847,0.000104303,178.531,0.001699885,177.9793
20215578,2022:02:24,목,11:52:12 AM,version=0.1,Test,0,7,14,6,0.001807271,179.311,0.001865195,177.4133,0.001358771,176.1835,0.000770051,178.4702,0.000235446,177.5393,0.000817195,179.2785
20215578,2022:02:24,목,11:54:17 AM,version=0.1,Test,0,7,14,6,0.000548502,177.8907,0.000369948,177.6041,0.000897294,176.6891,0.0007123,179.4387,0.002127729,178.2161,0.000463461,178.694
20215578,2022:02:24,목,11:56:04 AM,version=0.1,Test,0,7,14,6,0.00023175,178.3415,0.000494234,178.7852,0.000934583,177.5198,0.000625681,179.2659,0.001030745,179.5074,0.00091438,179.7806
20192017,2022:02:24,목,12:31:56 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192017,2022:02:24,목,12:42:29 PM,version=0.1,Test,0,7,14,6,0.00299218,178.6227,0.001504043,179.8103,0.000803217,179.8881,0.003616263,179.1237,0.000941304,179.3707,0.002951415,179.3517
20192017,2022:02:24,목,12:43:22 PM,version=0.1,Test,0,7,14,6,0.00251798,177.7702,0.001586797,179.2082,0.001388927,179.3912,0.00179596,179.5941,0.001764467,179.3948,0.00243229,177.9805
20192017,2022:02:24,목,12:44:24 PM,version=0.1,Test,0,7,14,6,0.002867265,179.2217,0.002670097,179.5612,0.001653173,178.4247,0.00157879,179.4777,0.002729861,179.1489,0.002732514,178.1368
20192017,2022:02:24,목,12:45:22 PM,version=0.1,Test,0,7,14,6,0.002575515,178.9834,0.00073311,179.3424,0.000863624,176.8291,0.002634937,179.9604,0.00204905,177.7213,0.001810678,179.1675
20192017,2022:02:24,목,12:46:37 PM,version=0.1,Test,0,7,14,6,0.001716901,179.3139,0.000625252,178.8923,0.001315817,179.8455,0.001289302,178.9942,0.002244497,179.0309,0.002708117,178.4956
20192001,2022:02:24,목,1:52:56 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192001,2022:02:24,목,2:03:50 PM,version=0.1,Test,0,7,14,6,0.001099587,177.7177,0.000517072,178.4744,0.001567291,179.3813,0.000612135,178.6695,0.000421467,179.8298,0.000713926,179.3315
20192001,2022:02:24,목,2:05:06 PM,version=0.1,Test,0,7,14,6,0.000129717,179.2454,0.000312525,178.3506,0.000175192,178.7359,5.11E-05,178.5246,0.00112132,179.7771,0.000493902,178.6667
20192001,2022:02:24,목,2:06:28 PM,version=0.1,Test,0,7,14,6,0.000388454,179.7744,0.000805897,179.761,0.000887878,177.8664,0.000586017,179.9515,0.0016705,178.8816,0.000821653,179.2033
20192001,2022:02:24,목,2:07:55 PM,version=0.1,Test,0,7,14,6,0.000104582,178.4812,0.000571459,178.4567,0.001102223,178.5449,0.000285517,177.9144,0.000317652,179.2467,0.001510659,179.669
20192001,2022:02:24,목,2:09:07 PM,version=0.1,Test,0,7,14,6,0.000583126,178.9352,0.000567015,178.3105,0.001238713,178.7665,0.000238924,179.0831,0.002705008,179.0894,0.000587908,178.7628
20182033,2022:02:25,금,11:11:11 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20182033,2022:02:25,금,11:29:59 AM,version=0.1,Test,0,7,14,6,0.000900819,177.9875,0.000476276,177.8414,0.001188258,179.6024,0.00094563,178.2665,0.00047081,179.4995,0.000969819,177.2647
20182033,2022:02:25,금,11:31:27 AM,version=0.1,Test,0,7,14,6,0.000575396,179.8345,0.000744441,177.6804,0.0011833,179.6347,0.001387125,179.6205,0.000289847,179.5433,0.001048436,179.1793
20182033,2022:02:25,금,11:32:29 AM,version=0.1,Test,0,7,14,6,0.000745906,177.9552,0.000975605,175.1487,0.002195133,176.5354,0.001024286,179.856,0.000137319,178.1979,0.000334819,177.3667
20182033,2022:02:25,금,11:34:04 AM,version=0.1,Test,0,7,14,6,0.000533587,178.3153,0.000103197,177.8335,0.002554248,178.2126,0.000524796,177.1299,0.00110004,179.3391,0.000460897,179.3571
20182033,2022:02:25,금,11:35:47 AM,version=0.1,Test,0,7,14,6,0.00028045,178.2171,0.000601361,177.615,0.000306762,176.9881,0.000464563,179.883,0.000431425,179.831,0.00056819,177.6564
20182033,2022:02:25,금,11:37:11 AM,version=0.1,Test,0,7,14,6,0.001717701,177.1796,0.000125856,178.9244,0.000956484,175.2935,0.000530463,179.459,0.001207541,179.5836,0.000782091,177.1288
20215578,2022:02:25,금,12:28:53 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20215578,2022:02:25,금,12:48:26 PM,version=0.1,Test,0,7,14,6,0.000982028,176.6334,0.001591678,179.2011,0.000509017,179.7188,0.001065768,177.9479,0.000406248,179.4529,0.001566235,179.1113
20215578,2022:02:25,금,12:50:16 PM,version=0.1,Test,0,7,14,6,0.000424711,177.393,0.000672819,178.2066,0.000604635,176.1574,0.002961108,179.1942,0.000635813,179.8144,0.00068856,175.4169
20215578,2022:02:25,금,12:52:12 PM,version=0.1,Test,0,7,14,6,0.000149702,178.9736,0.001423791,177.7433,0.00171035,177.5198,0.002338391,178.49,0.000199918,178.8557,0.002219849,178.1939
20215578,2022:02:25,금,12:53:41 PM,version=0.1,Test,0,7,14,6,0.001840955,179.3987,0.002015484,179.1484,0.001472987,177.3577,0.002295705,179.6118,0.002565932,178.7452,0.00308478,178.5413
20215578,2022:02:25,금,12:55:51 PM,version=0.1,Test,0,7,14,6,0.000429221,177.5007,0.000936986,177.6867,0.001061489,178.9389,0.002094371,178.2514,0.000205236,177.8313,0.002076897,179.4995
20215578,2022:02:25,금,12:57:56 PM,version=0.1,Test,0,7,14,6,0.000530854,179.1111,0.001000064,174.0766,0.000288134,175.6317,0.00091209,177.9674,0.000860685,178.3555,0.001739674,179.2496
20155428,2022:02:25,금,1:34:58 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20155428,2022:02:25,금,1:49:47 PM,version=0.1,Test,0,7,14,6,0.001127798,178.7674,0.000460045,177.9011,0.001500656,179.3196,0.001211708,178.6079,0.000371408,178.897,0.000723538,178.5689
20155428,2022:02:25,금,1:51:13 PM,version=0.1,Test,0,7,14,6,0.001084989,179.9441,0.000300411,179.3034,0.000762883,179.6231,0.001101691,177.5439,0.000374673,179.5985,0.000694637,178.3398
20155428,2022:02:25,금,1:52:18 PM,version=0.1,Test,0,7,14,6,0.000937729,178.4872,0.000609548,178.4687,0.000229448,179.1602,0.000735251,178.1185,0.000254962,179.7161,0.000878283,179.7175
20155428,2022:02:25,금,1:53:11 PM,version=0.1,Test,0,7,14,6,0.000430987,178.0678,0.000814113,179.3925,0.00056649,179.153,0.000157213,178.8083,0.000382281,179.7702,0.001370555,178.5334
20155428,2022:02:25,금,1:54:09 PM,version=0.1,Test,0,7,14,6,0.001102318,178.1231,0.001595071,178.2534,0.000504904,179.7295,0.00098375,179.3823,0.001190959,179.9441,0.000956407,179.4405
20155428,2022:02:25,금,1:54:56 PM,version=0.1,Test,0,7,14,6,0.001131336,178.4511,0.001081542,179.5472,0.000405259,179.6539,0.00100485,178.8129,0.00085104,178.514,0.000864068,179.6891
20192017,2022:02:25,금,2:13:11 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192017,2022:02:25,금,2:23:17 PM,version=0.1,Test,0,7,14,6,0.002840437,178.1373,0.001579055,178.9404,0.003055963,179.2648,0.001309327,179.1623,0.002558227,179.7618,0.00173166,178.634
20192017,2022:02:25,금,2:24:17 PM,version=0.1,Test,0,7,14,6,0.002753082,177.1242,0.00236976,178.1907,0.003139988,179.1008,0.00222179,178.0172,0.008224738,178.6651,0.001136005,178.8439
20192017,2022:02:25,금,2:25:15 PM,version=0.1,Test,0,7,14,6,0.001382988,177.9487,0.000392791,179.972,0.000228845,179.1901,0.003175229,179.4593,0.004071137,179.5327,0.00317724,179.1563
20192017,2022:02:25,금,2:25:54 PM,version=0.1,Test,0,7,14,6,0.00246228,177.6823,0.002076914,179.0945,0.000497884,178.3889,0.000346841,179.5154,0.001203968,177.4966,0.001470963,177.953
20192017,2022:02:25,금,2:26:46 PM,version=0.1,Test,0,7,14,6,0.002549016,178.5415,0.003772657,179.8953,0.002030369,179.5472,0.002366012,178.482,0.001672283,179.9604,0.002377253,178.9816
20192017,2022:02:25,금,2:27:43 PM,version=0.1,Test,0,7,14,6,0.005303862,178.815,0.003497928,179.8506,0.001320429,178.5825,0.002459463,179.8468,0.000415874,179.9051,0.002271241,179.5515
20192001,2022:02:25,금,2:57:26 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192001,2022:02:25,금,3:09:47 PM,version=0.1,Test,0,7,14,6,0.000847755,179.8629,0.000103851,179.6472,0.000258668,179.3954,0.000287429,179.1416,0.000628632,179.7317,0.00041905,178.8825
20192001,2022:02:25,금,3:11:38 PM,version=0.1,Test,0,7,14,6,0.001091812,178.8617,0.000759669,177.8345,0.000659109,178.7325,0.000415235,178.3677,0.00113831,179.5382,0.000437602,178.4242
20192001,2022:02:25,금,3:13:21 PM,version=0.1,Test,0,7,14,6,0.006122314,158.4435,0.008873033,158.8094,0.000980961,179.3602,0.00084992,179.2956,0.001471031,179.6557,0.000517851,179.0234
20192001,2022:02:25,금,3:14:47 PM,version=0.1,Test,0,7,14,6,0.000319637,179.6523,0.001616657,178.5171,0.001309029,179.7324,0.000893154,179.5608,0.000469302,179.8615,0.00058802,177.3557
20192001,2022:02:25,금,3:16:05 PM,version=0.1,Test,0,7,14,6,0.000706088,177.2328,0.000563277,176.2892,0.001083382,179.5335,0.000842083,179.6315,0.001137998,179.7309,0.000412674,178.6955
20192001,2022:02:25,금,3:17:22 PM,version=0.1,Test,0,7,14,6,0.00062276,179.0993,0.000765736,178.3353,0.000463078,179.5106,0.000742597,179.7209,0.000271283,179.2802,0.000785377,178.1696
,2022:03:02,수,11:23:34 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
,2022:03:02,수,11:24:07 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
787,2022:03:07,월,9:54:44 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
787,2022:03:07,월,9:56:10 AM,version=0.1,Test,0,3,6,2,0.006227649,177.6847,0.001316368,178.9016,,,,,,,,
787,2022:03:07,월,9:56:18 AM,version=0.1,Test,0,2,4,1,0.00759266,179.5382,,,,,,,,,,
20192014,2022:03:07,월,10:10:11 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192014,2022:03:07,월,10:28:30 AM,version=0.1,Test,0,7,14,6,0.001924638,178.6759,0.001249938,178.9017,0.00119953,176.7079,0.001834586,179.2018,0.000677809,179.3014,0.000623084,178.4068
20192014,2022:03:07,월,10:30:39 AM,version=0.1,Test,0,7,14,6,0.001425444,176.4627,0.001166872,178.0055,0.000632611,176.3777,0.001283235,177.3193,0.000715452,179.972,0.001175089,177.7156
20192014,2022:03:07,월,10:31:59 AM,version=0.1,Test,0,7,14,6,0.000886394,177.3257,0.000632163,179.2596,0.00142636,177.3342,0.001460583,178.5867,0.000677816,178.4544,0.000796086,176.9624
20202023,2022:03:07,월,11:01:18 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20202023,2022:03:07,월,11:15:36 AM,version=0.1,Test,0,7,14,6,0.001584269,177.5382,0.000790561,177.683,0.004940216,177.7708,0.000764481,178.3311,0.003631077,179.1372,0.001771713,178.6131
20202023,2022:03:07,월,11:17:48 AM,version=0.1,Test,0,7,14,6,0.002372558,179.5467,0.001572329,178.548,0.000887885,179.9374,0.001345209,178.9183,0.003235344,178.9799,0.000805081,178.7673
20202023,2022:03:07,월,11:19:24 AM,version=0.1,Test,0,7,14,6,0.0017882,179.8176,0.001456252,177.727,0.002506112,179.2348,0.00071993,175.8323,7.41E-05,179.9604,0.00068809,176.8185
20182032,2022:03:07,월,11:56:17 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20182032,2022:03:07,월,12:39:27 PM,version=0.1,Test,0,7,14,6,0.000402488,179.1843,0.000311471,178.0543,0.000299439,179.6942,0.001943313,178.0628,0.000304526,178.9046,0.000557103,179.0432
20182032,2022:03:07,월,12:42:48 PM,version=0.1,Test,0,7,14,6,0.000193239,179.2843,0.000835441,178.8268,0.0034694,178.9872,0.002095328,175.1376,0.000914513,179.2369,0.000522872,177.4404
20182032,2022:03:07,월,12:45:41 PM,version=0.1,Test,0,7,14,6,0.001301876,177.636,0.000117178,178.7695,0.0024296,176.6777,0.000467362,177.3185,0.003878803,178.0993,0.000384016,178.3897
20202033,2022:03:07,월,1:08:40 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
