Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4
20182033,2022:02:23,수,3:23:57 PM,version=0.1,Test,0,5,10,4,0.000814194,178.0368,0.00015193,178.628,0.000733233,177.0287,0.001559525,179.4454
20182033,2022:02:23,수,3:25:50 PM,version=0.1,Test,0,5,10,4,0.000593288,178.6787,0.000533968,177.3455,0.000807257,179.7147,0.00082667,179.157
20182033,2022:02:23,수,3:26:44 PM,version=0.1,Test,0,5,10,4,0.00084734,178.494,0.000339858,179.0329,0.000604164,178.4887,0.000762594,177.141
20155428,2022:02:24,목,9:20:06 AM,version=0.1,Test,,Start,,,,,,,,,,
20155428,2022:02:24,목,9:21:26 AM,version=0.1,Test,0,5,10,4,0.000684576,179.7561,0.00107452,179.0711,0.000267305,179.5813,0.000908302,178.7253
20155428,2022:02:24,목,9:22:30 AM,version=0.1,Test,0,5,10,4,0.000505665,179.3042,0.000380772,179.258,0.00051036,178.8333,0.001341908,179.3389
20155428,2022:02:24,목,9:23:35 AM,version=0.1,Test,0,5,10,4,0.000638116,179.2318,0.000405858,179.3541,0.000404912,178.4202,0.000362765,178.9082
20155428,2022:02:24,목,9:24:33 AM,version=0.1,Test,0,5,10,4,0.000591762,178.5337,0.000480394,179.2364,0.001289396,178.2877,0.000918961,178.1587
20155428,2022:02:24,목,9:25:38 AM,version=0.1,Test,0,5,10,4,0.000763997,179.3608,8.41E-05,179.6528,0.000237291,179.9374,0.000915981,178.2377
20182033,2022:02:24,목,10:34:33 AM,version=0.1,Test,,Start,,,,,,,,,,
20182033,2022:02:24,목,10:35:25 AM,version=0.1,Test,0,5,10,4,0.00088768,179.3389,0.000521949,176.3775,0.001378919,176.6573,0.000613141,177.6683
20182033,2022:02:24,목,10:36:13 AM,version=0.1,Test,0,5,10,4,0.001252376,179.2392,0.000778791,175.6608,0.000437085,177.8354,0.002889507,178.6165
20182033,2022:02:24,목,10:37:40 AM,version=0.1,Test,0,5,10,4,0.001023012,177.6208,0.00043202,175.8986,0.000908477,179.9374,0.00107743,179.6678
20182033,2022:02:24,목,10:38:20 AM,version=0.1,Test,0,5,10,4,0.000878747,179.2152,0.001129638,179.2506,0.000493645,177.8525,0.000883002,178.2144
20182033,2022:02:24,목,10:38:56 AM,version=0.1,Test,0,5,10,4,0.000435588,179.4158,0.000692482,177.4266,0.000616078,178.0546,0.000369703,178.8147
20215578,2022:02:24,목,11:29:49 AM,version=0.1,Test,,Start,,,,,,,,,,
20215578,2022:02:24,목,11:30:56 AM,version=0.1,Test,0,5,10,4,0.001472072,177.2914,0.000842593,178.0792,0.000283117,179.7702,0.000798329,178.3838
20215578,2022:02:24,목,11:31:36 AM,version=0.1,Test,0,5,10,4,0.000900241,178.9909,0.000387159,178.2328,0.001248865,178.9482,0.000285469,179.545
20215578,2022:02:24,목,11:32:33 AM,version=0.1,Test,0,5,10,4,0.000656779,175.5079,0.000463708,178.3115,0.001247435,179.4733,0.000289005,179.573
20215578,2022:02:24,목,11:33:23 AM,version=0.1,Test,0,5,10,4,0.000337533,179.3286,0.000346747,179.5652,0.00180415,179.0566,0.001469407,177.3482
20215578,2022:02:24,목,11:34:11 AM,version=0.1,Test,0,5,10,4,0.001359759,179.1593,0.000200003,179.7346,0.000996704,179.3654,0.001447208,178.9882
20192017,2022:02:24,목,12:31:56 PM,version=0.1,Test,,Start,,,,,,,,,,
20192017,2022:02:24,목,12:32:38 PM,version=0.1,Test,0,5,10,4,0.001726544,178.9985,0.001559947,178.9979,0.001821625,178.3288,0.002084661,177.9904
20192017,2022:02:24,목,12:33:19 PM,version=0.1,Test,0,5,10,4,0.002382224,179.8658,0.001467143,179.4899,0.001607449,179.4557,0.002951347,179.9093
20192017,2022:02:24,목,12:34:08 PM,version=0.1,Test,0,5,10,4,0.003005143,179.4059,0.004348021,179.7851,0.003197307,179.4547,0.001999322,179.4637
20192017,2022:02:24,목,12:35:00 PM,version=0.1,Test,0,5,10,4,0.004442039,174.2702,0.002847131,174.5058,0.002059636,179.3463,0.001970709,179.7651
20192017,2022:02:24,목,12:35:40 PM,version=0.1,Test,0,5,10,4,0.003656648,178.4992,0.00302634,179.3535,0.00271564,179.8481,0.000994205,179.1642
20192001,2022:02:24,목,1:52:56 PM,version=0.1,Test,,Start,,,,,,,,,,
20192001,2022:02:24,목,1:53:50 PM,version=0.1,Test,0,5,10,4,0.000726122,178.9675,0.000414492,179.0913,0.000122438,179.3324,0.000374791,178.0433
20192001,2022:02:24,목,1:54:34 PM,version=0.1,Test,0,5,10,4,0.000546094,179.2766,0.000884351,178.6866,0.000500983,179.6149,0.000404052,179.4681
20192001,2022:02:24,목,1:55:11 PM,version=0.1,Test,0,5,10,4,0.000418208,179.8601,0.000260158,179.0404,7.85E-05,179.9234,5.80E-05,179.4489
20192001,2022:02:24,목,1:55:54 PM,version=0.1,Test,0,5,10,4,0.000599843,178.444,0.000718781,179.3187,0.000367512,179.883,0.000301295,179.1621
20192001,2022:02:24,목,1:56:33 PM,version=0.1,Test,0,5,10,4,0.000960392,179.8718,0.000105798,178.94,0.001171059,179.1526,0.000934954,178.825
20182033,2022:02:25,금,11:11:11 AM,version=0.1,Test,,Start,,,,,,,,,,
20182033,2022:02:25,금,11:12:08 AM,version=0.1,Test,0,5,10,4,0.001381754,178.7068,0.001042462,177.2762,0.002438133,178.4692,0.002305618,176.4518
20182033,2022:02:25,금,11:12:55 AM,version=0.1,Test,0,5,10,4,0.00065667,179.2224,0.001566795,179.4105,0.00061042,178.7861,0.001163845,179.9031
20182033,2022:02:25,금,11:13:41 AM,version=0.1,Test,0,5,10,4,0.000751395,178.9513,0.000438016,177.7746,0.000322967,177.8381,0.000549685,178.9102
20182033,2022:02:25,금,11:14:17 AM,version=0.1,Test,0,5,10,4,0.000724145,179.1748,0.000425274,178.1492,0.000506384,179.8264,0.001669211,179.7154
20182033,2022:02:25,금,11:15:23 AM,version=0.1,Test,0,5,10,4,0.000557512,179.2651,0.000620666,178.7747,0.001123759,179.5394,0.000816141,179.5433
20182033,2022:02:25,금,11:16:15 AM,version=0.1,Test,0,5,10,4,0.001220283,179.1998,0.000501179,177.3707,0.000157541,174.5647,0.000650462,178.4864
20215578,2022:02:25,금,12:28:53 PM,version=0.1,Test,,Start,,,,,,,,,,
20215578,2022:02:25,금,12:31:20 PM,version=0.1,Test,0,5,10,4,0.001149063,178.9244,0.000463714,176.9138,0.000878647,178.3508,0.000289827,179.0902
20215578,2022:02:25,금,12:32:00 PM,version=0.1,Test,0,5,10,4,0.000522508,179.2785,0.001095337,179.3113,0.001382531,178.118,0.001319053,178.6172
